Song Title, Artist, Duration, Tags, LastFm Reference
Can't Remember To Forget You,Shakira Featuring Rihanna,,"pop,latin,femalevocalists,spanish,rock",Shakira/_/Can%27t+Remember+To+Forget+You+(Featuring+Rihanna)
Nola,The Morgan Brothers,2:21,,The+Morgan+Brothers/_/Nola
I'm Gonna Make You Mine,The Shadows Of Knight,,"garagerock,60s,psychedelicrock,garage",The+Shadows+of+Knight/_/I%27m+Gonna+Make+You+Mine
(I Can Feel Your Love) Slipping Away,Barbara Mason,3:05,"soul,femalevocalists,funk,60s",Barbara+Mason/_/(I+Can+Feel+Your+Love)+Slipping+Away
Indian Summer,Poco,5:29,"countryrock,70s,classicrock,1977",Poco/_/Indian+Summer
Miss Me More,Kelsea Ballerini,3:12,"country,pop,american,country-pop",Kelsea+Ballerini/_/Miss+Me+More
The Things That I Used To Do,James Brown And His Orchestra,,"blues,cover,60s,1964,drjazzmrfunkmusic,guitarslimcover",James+Brown/_/The+Things+That+I+Used+To+Do
I Hate U I Love U,gnash Featuring Olivia O'Brien,,"pop,rock,grunge,american","gnash/_/I+Hate+U,+I+Love+U+(Featuring+Olivia+O%27brien)"
Tell Me Why,Wynonna,,"country,90s,tellmewhy",Wynonna+Judd/_/Tell+Me+Why
"Love Theme From ""The Sandpiper"" (The Shadow Of Your Smile)",Tony Bennett,3:34,"malevocals,grammysoty",Tony+Bennett/_/The+Shadow+of+Your+Smile+(Love+Theme+from+%22The+Sandpiper%22)
Shut Up And Let Me Go,The Ting Tings,2:51,"indie,pop,dance,poptron,british,electronic",The+Ting+Tings/_/Shut+Up+and+Let+Me+Go
Never Felt So Alone,Labrinth,2:40,"sad,labrinth,neverfeltsoalone(feat.billieeilish)",Labrinth/_/Never+Felt+So+Alone
Everything We Need,Kanye West Featuring Ty Dolla $ign & Ant Clemons,,"hip-hop,rap,hiphop,kanyewest,rnb,pop,poprap,gospel,gayfish","Kanye+West/_/Everything+We+Need+(featuring+Ty+Dolla+$ign,+Ant+Clemons+&+Sunday+Service+Choir)"
Good Thing Man,Frank Lucas,,,Frank+Lucas/_/Good+thing+Man
Brownsville,Joy Of Cooking,5:50,"vinyl,folkrock,femalevocalists,california",Joy+Of+Cooking/_/Brownsville-Mockingbird
Your Love Is King,Sade,3:38,"soul,femalevocalists,sade,jazz,80s",Sade/_/Your+Love+Is+King
Holding Out For A Hero,Bonnie Tyler,,"synthpop,soundtrack,eurobeat,1984,aminor,jimsteinman,vocalharmonies,acousticrhythmpiano,electronicainfluences,interweavingvocalharmony",Bonnie+Tyler/_/Holding+Out+for+a+Hero+-+From+%22Footloose%22+Soundtrack
So In Love With Two,Mikaila,3:27,"torn,easytorelateto,painfullypoppy,pop,00s,naruto,narusaku",Mikaila/_/So+In+Love+With+Two
Miss Independent,Kelly Clarkson,3:33,"pop,poprock,femalevocalists,kellyclarkson",Kelly+Clarkson/_/Miss+Independent
Take Your Time (Do It Right) Part 1,The S.O.S. Band,3:15,"dancepop,funk",S.O.S.+Band/_/Take+Your+Time+(Do+It+Right)+(Part+1)
"(Theme from) ""The Dark At The Top Of The Stairs""",Ernie Freeman,2:26,60s,Ernie+Freeman/_/Theme+From+%22The+Dark+At+The+Top+Of+The+Stairs%22
Someone To Love,Jon B. Featuring Babyface,,"90s,r&b,quietstorm,jonb",Jon+B+(featuring+Babyface)/_/Someone+To+Love
6 Inch,Beyonce Featuring The Weeknd,,"rnb,pop,femalevocalists,soul,hip-hop",Beyonc%C3%A9/_/6+INCH+(Featuring+The+Weeknd)
Better Tell Him No,The Starlets,,60s,The+Starlets/_/Better+Tell+Him+No
State Of Grace,Taylor Swift,4:55,"rock,pop,poprock,arenarock",Taylor+Swift/_/State+of+Grace+(Taylor%27s+Version)
Walk On Water,Eminem Featuring Beyonce,,,Eminem+Featuring+Beyonce/_/Walk+On+Water
Give Me Just One Night (Una Noche),98 Degrees,3:25,"pop,boybands,98degrees",98+Degrees/_/Give+Me+Just+One+Night+(Una+Noche)
New Soul,Yael Naim,3:45,"femalevocalists,pop,indie,happy,folk",Yael+Naim/_/New+Soul
Plain Jane,Bobby Darin,,"oldies,rocknroll,1959",Bobby+Darin/_/Plain+Jane
Summertime,New Kids On The Block,3:22,"pop,newkidsontheblock,2008",New+Kids+on+the+Block/_/Summertime
Go!,Moneybagg Yo Featuring BIG30,Invalid Information,Invalid Information,Invalid Information
Freddie,Charlene,4:05,"pop,80s,femalevocalists,shoegaze",Charlene/_/Freddie
Going Through The Motions,Aftershock,4:58,"metalcore,hardcore",Aftershock/_/Going+Through+the+Motions
Pretend,Carl Mann,2:36,"50s,rockabilly,rockandroll",Carl+Mann/_/Pretend
Paper Roses,Anita Bryant,2:52,"valuesvoters,tonguetalker,christianreligion,hitlerhasonlygotoneball,fatimazahra,thereligiousimpulse,youthwithamission,monotheism,freemason,theism",Anita+Bryant/_/Paper+Roses
Baby I Love You,Little Milton,,"blues,soul,rhythmandblues,funk",Little+Milton/_/Baby+I+Love+You
Happy Xmas (War Is Over),John Legend,3:31,"christmas,christmas2019",John+Legend/_/Happy+Xmas+(War+Is+Over)
Let This Be A Lesson To You,The Independents,5:01,"horrorpunk,psychobilly,punk,ska,skapunk,needtorate,punkrock",The+Independents/_/Let+This+Be+a+Lesson+to+You
Day Tripper,Ramsey Lewis,3:07,"jazz,instrumental",Ramsey+Lewis/_/Day+Tripper
Love King,The-Dream,4:06,"rnb,dream-loveking",The-Dream/_/Love+King
Dynamite Woman,Sir Douglas Quintet,3:37,oldies,The+Sir+Douglas+Quintet/_/Dynamite+Woman
All She Wants to Do Is Dance,Don Henley,6:12,"80s,rock,classicrock,donhenley,pop",Don+Henley/_/All+She+Wants+To+Do+Is+Dance
One Of Us (Will Weep Tonight),Patti Page,2:34,"jazz,femalevocalists,50s,easylistening,oldies",Patti+Page/_/One+of+Us+(Will+Weep+Tonight)
Spring In Manhattan,Tony Bennett,,nyc,Tony+Bennett/_/Spring+in+Manhattan
Some Things You Never Get Used To,Diana Ross & The Supremes,2:23,"60s,1968,soul,pop",Diana+Ross+and+the+Supremes/_/Some+Things+You+Never+Get+Used+To
I'm Gonna Love Her For Both Of Us,Meat Loaf,,"hardrock,classicrock,meatloaf",Meat+Loaf/_/I%27m+Gonna+Love+Her+for+Both+of+Us
Love Is On Its Way,Jonas Brothers,3:43,"jonasbrothers,love",Jonas+Brothers/_/Love+Is+On+Its+Way
Focus,Ariana Grande,3:31,"pop,2015",Ariana+Grande/_/Focus
Giving It All Away,Roger Daltrey,3:35,"rock,classicrock",Roger+Daltrey/_/Giving+It+All+Away
Minimum Wage,Blake Shelton,3:48,"country,2021,2020s",Blake+Shelton/_/Minimum+Wage
Sweet Seasons,Carole King,3:08,"femalevocalists,70s,singer-songwriter,pop,caroleking",Carole+King/_/Sweet+Seasons
Magic,Robin Thicke,,"soul,rnb,robinthicke,pop",Robin+Thicke/_/Magic
imgonnagetyouback,Taylor Swift,3:42,"pop,femalevocalists,worstof2024,colleenhoover,💩",Taylor+Swift/_/imgonnagetyouback
Sleepy-Eyed John,Johnny Horton,,"country,bluegrass,oldies,rockbilly",Johnny+Horton/_/Sleepy-Eyed+John
Looking For Space,John Denver,4:04,"folk,country,johndenver,pop",John+Denver/_/Looking+For+Space
